staff_name,publication,publication_year
Yiu-Wing MAI,"Further study in friction, metallic transfer and wear debris of sliding surfaces",1984
Yiu-Wing MAI,Crease-induced targeted cutting and folding of graphene origami,2020
Yiu-Wing MAI,Nanostructures and thermomechanical properties of epoxy thermosets containing reactive diblock copolymer,2010
Yiu-Wing MAI,An exact analysis for mode III cracks between two dissimilar magnetoelectroelastic layers,2008
Yiu-Wing MAI,Effects of magnetic fields on cracks in a soft ferromagnetic material,2008
Yiu-Wing MAI,Fracture mechanics analysis models for functionally graded materials with arbitrarily distributed properties (Modes II and III problems),2004
Yiu-Wing MAI,Effect of thermotropic copolyesteramide on the properties of polyamide‐66/liquid crystalline copolyester composites,2002
Yiu-Wing MAI,Effects of z-pin reinforcement on interlaminar mode I delamination,2001
Yiu-Wing MAI,Finite element analysis and experimental evaluation of ductile-brittle transition in compact tension specimen,1997
Yiu-Wing MAI,Effect of constraint on ductile crack growth and ductile-brittle fracture transition of a carbon steel,1997
Yiu-Wing MAI,A new model for evaluation of the interfacial friction coefficient and residual clamping stress in a fibre-push-out test,1993
Yiu-Wing MAI,Thermal degradation of polypropylene fibers in cement composites,1980
Yiu-Wing MAI,Effect of water and ice on strength and fracture toughness of intermittently bonded boron-epoxy composites,1976
Yiu-Wing MAI,Quasi-static adhesive fracture,1975
Yiu-Wing MAI,Improvement in adhesion of diamond film on Cu substrate with an inlay structured interlayer,2011
Yiu-Wing MAI,Periodic antiplane cracks in graded coatings under static or transient loading,2006
Yiu-Wing MAI,The contact problem of a rubber half-space dented by a rigid cone apex,2002
Yiu-Wing MAI,Reactively sputtered WOxNy films,2000
Yiu-Wing MAI,Analysis of resin-transfer-moulded single-lap joints,1999
Yiu-Wing MAI,Sensitivity of piezoelectric wafers to the curing of thermoset resins and thermoset composites,1998
Yiu-Wing MAI,Fatigue behaviour of CF/PEEK composite laminates made from commingled prepreg. Part II: statistical simulations,1997
Yiu-Wing MAI,Plastic rotation factors of three-point bend and compact tension specimens,1988
Yiu-Wing MAI,On the opening and edge-sliding fracture toughness of aluminium-epoxy adhesive joints,1978
Yiu-Wing MAI,Facile flame catalytic growth of carbon nanomaterials on the surface of carbon nanotubes,2019
Yiu-Wing MAI,Model-based simulation of normal grain growth in a two-phase nanostructured system,2006
Yiu-Wing MAI,Finite element simulations of the doublediaphragm forming process: Comparisons with experimental trials,2005
Yiu-Wing MAI,Crack path selection in piezoelectric bimaterials,1999
Yiu-Wing MAI,Three-dimensional elastoplastic finite element modelling of deformation and fracture behaviour of rubber-modified polycarbonates at different triaxiality,1999
Yiu-Wing MAI,Statistical fatigue life prediction of cross-ply composite laminates,1997
Yiu-Wing MAI,Residual strength of an ARALL laminate containing a crack,1997
Yiu-Wing MAI,Grain size effects on cyclic fatigue and crack-growth resistance behaviour of partially stabilized zirconia,1995
Yiu-Wing MAI,Novel fiber reinforced metal laminates for aerospace applications. A review,1995
Yiu-Wing MAI,Analysis of fiber frictional sliding in fiber bundle pushout test,1994
Yiu-Wing MAI,Advances in fracture research,1981
Yiu-Wing MAI,Glass fibres coated with flame synthesised carbon nanotubes to enhance interface properties,2021
Yiu-Wing MAI,Electrospinning Techniques: Electrospinning‐Based Strategies for Battery Materials (Adv. Energy Mater. 2/2021),2021
Yiu-Wing MAI,In-situ shear exfoliation and thermal conductivity of SBS/Graphite nanoplatelet nanocomposites,2020
Yiu-Wing MAI,Phase behavior and nanomechanical mapping of block ionomer complexes,2013
Yiu-Wing MAI,Multi-holed clay nanotubes and their modification with a polyaniline nanolayer,2011
Yiu-Wing MAI,Effects of loading rate and temperature on tensile yielding and deformation mechanisms of nylon 6-based nanocomposites,2010
Yiu-Wing MAI,Effective properties of magnetoelectroelastic materials with aligned ellipsoidal voids,2009
Yiu-Wing MAI,Effect of interfacial cracks on the effective properties of magnetoelectroelastic composites,2009
Yiu-Wing MAI,Fracture mechanics analysis on Smart-Cut® technology. Part 1: Effects of stiffening wafer and defect interaction,2009
Yiu-Wing MAI,Fracture mechanics analysis of the effects of temperature and material mismatch on the Smart-Cut® technology,2008
Yiu-Wing MAI,Swelling and time-dependent subcritical debonding of underfill during temperature-humidity aging of flip chip packages,2005
Yiu-Wing MAI,Drop impact reliability-A comprehensive summary,2005
Yiu-Wing MAI,A preliminary study on damage wave in elastic-brittle materials,2005
Yiu-Wing MAI,Micromechanical properties on the surface of PVC/SBR blends spatially resolved by a nanoindentation technique,2004
Yiu-Wing MAI,Drop weight impact and work of fracture of short glass fiber reinforced polypropylene composites toughened with elastomer,2003
Yiu-Wing MAI,Hybrids and sandwiches,2000
Yiu-Wing MAI,Development of a finite element micromodel for metal matrix composites,1999
Yiu-Wing MAI,The effect of triaxial constraint on toughening mechanisms of rubber-modified epoxy system,1997
Yiu-Wing MAI,On the equivalence of stress intensity and energy approaches in bridging analysis,1994
Yiu-Wing MAI,Fracture toughness of discontinuously reinforced aluminium 6061 matrix composites,1993
Yiu-Wing MAI,A statistical theory of time-dependent fracture for cementitious materials subjected to cyclic loading,1989
Yiu-Wing MAI,A computerized data acquisition system for fatigue crack growth studies in polymers,1985
Yiu-Wing MAI,Controlled interfacial bonding on the strength and fracture toughness of Kevlar and carbon fibre composites,1983
Yiu-Wing MAI,Mechanical properties of nylon 6 subjected to photodegradation,1980
Yiu-Wing MAI,Thermal stress fracture of solar control window panes caused by shading of incident radiation,1980
Yiu-Wing MAI,On the stability of cracking in tapered DCB testpieces,1975
Yiu-Wing MAI,Quasi-static cracking in polycarbonate,1973
Yiu-Wing MAI,Facile One Pot Polycondensation Method to Synthesize the Crosslinked Polyethylene glycol‐Based Copolymer Electrolytes,2016
Yiu-Wing MAI,Analytical solutions for PCB assembly subjected to mismatched thermal expansion,2009
Yiu-Wing MAI,Theoretical analysis of Hertzian contact fracture: Ring crack,2008
Yiu-Wing MAI,Plane stress crack growing steadily in metal foams,2004
Yiu-Wing MAI,Delamination fracture mechanics of composite laminates with through‐thickness pinning,2003
Yiu-Wing MAI,Ultraviolet curing of glass fibre reinforced polyester composites,2000
Yiu-Wing MAI,An appraisal of composite interface mechanics models and some challenging problems,1998
Yiu-Wing MAI,Effect of polyethylene particle geometry on mechanical properties of compression moulded wood-polyethylene composites,1997
Yiu-Wing MAI,In situ SEM studies on the effects of particulate reinforcement on fatigue crack growth mechanism of aluminium-based metal-matrix composite,1995
Yiu-Wing MAI,Fatigue crack propagation in unplasticized poly (vinyl chloride): 1. Effect of mean stress,1988
Yiu-Wing MAI,Slow crack growth in bleached cellulose fibre cements,1984
Yiu-Wing MAI,ON POLYPROPYLENE-CELLULOSE FIBRE-CEMENT HYBRID COMPOSITES.,1980
Yiu-Wing MAI,Brittle fracture in ductile solids produced by sandwich layers,1976
Yiu-Wing MAI,Damping properties of carbon fiber reinforced composites hybridized with polysulfone (PSF)/cellulose nanocrystal (CNC) interleaves,2021
Yiu-Wing MAI,In situ reduction of iron oxide with graphene for convenient synthesis of various graphene hybrids,2016
Yiu-Wing MAI,Functionalization of carbon nanotubes for polymer nanocomposites,2011
Yiu-Wing MAI,Flame retardancy of polymer–clay nanocomposites,2010
Yiu-Wing MAI,Major factors affecting the performance of short fibre reinforced polymers,2009
Yiu-Wing MAI,Mechanical behavior of Cu54Ni6Zr22Ti18 bulk amorphous alloy during multi-pass warm rolling,2007
Yiu-Wing MAI,A micromechanics-based Cosserat-type model for dense particulate solids,2006
Yiu-Wing MAI,Theoretical consideration on the fracture of shape memory alloys,2006
Yiu-Wing MAI,Failure mechanisms of interconnections in drop impact,2006
Yiu-Wing MAI,Fractals and scaling in fracture induced by microcrack coalescence,2005
Yiu-Wing MAI,Morphological study of sisal fibres,2002
Yiu-Wing MAI,Loading rate dependence of mode II fracture behavior in interleaved carbon fibre/epoxy composite laminates,2001
Yiu-Wing MAI,Effect of fibre pretreatment on the impact fracture toughness of sisal fibre reinforced polymer composites,1998
Yiu-Wing MAI,Temperature effect on fracture behaviour of an alumina particulate-reinforced 6061-aluminium composite,1994
Yiu-Wing MAI,Analysis of fatigue crack growth in a rubber-toughened epoxy resin: effect of temperature and stress ratio,1993
Yiu-Wing MAI,Discussion of “Effect of environment on stability of cracking in brittle polymers”,1979
Yiu-Wing MAI,Thermal-stress resistance and fracture toughness of two tool ceramics,1976
Yiu-Wing MAI,Determination of valid R-curves for materials with large fracture toughness to yield strength ratios,1976
Yiu-Wing MAI,Cracking stability in tapered DCB test pieces,1974
Yiu-Wing MAI,An experimental study of orthogonal cutting mechanisms for epoxies with two different crosslink densities,2018
Yiu-Wing MAI,Solution of collinear cracks in an electrostrictive solid,2010
Yiu-Wing MAI,Z-pinning reinforcement and its bridging law,2003
Yiu-Wing MAI,Interface mechanics and fracture toughness theories,1998
Yiu-Wing MAI,Cyclic fatigue of long and short cracks in alumina,1997
Yiu-Wing MAI,Modelling of stress transfer across the fibre—matrix interface,1996
Yiu-Wing MAI,The influence of temperature on the mechanical and fracture properties of a 20 vol% ceramic particulate-reinforced aluminium matrix composite,1994
Yiu-Wing MAI,"Toughening mechanisms in new hybrid epoxy systems containing alumina fibre, zirconia and rubber",1988
Yiu-Wing MAI,Further remarks on the essential work of fracture for tearing of ductile materials,1986
Yiu-Wing MAI,1 985. Elastic and plastic fracture,1985
Yiu-Wing MAI,On the effect of residual stresses in quasi-static cracking of materials,1977
Yiu-Wing MAI,Fracture properties and failure mechanisms of pure and toughened epoxy resins,2021
Yiu-Wing MAI,Conductive graphite nanoplatelets (GNPs)/polyethersulfone (PES) composites with inter-connective porous structure for chemical vapor sensing,2019
Yiu-Wing MAI,Polymer nanofiber composites,2017
Yiu-Wing MAI,Computational design for scaffold tissue engineering,2017
Yiu-Wing MAI,Improvements of stiffness and strength of bio-resorbable bone nails by the MFC-concept,2007
Yiu-Wing MAI,Influence of hardness ratio on scratch failure of coatings,2007
Yiu-Wing MAI,Continuum constitutive models and analytic solutions of crack problems of cellular materials,2003
Yiu-Wing MAI,Designing for piezoelectric ceramic wafers bonded on structures using force transfer criteria,2000
Yiu-Wing MAI,Effect of interface strength on MMC properties,2000
Yiu-Wing MAI,Effects of rate and temperature on fracture behavior of TPX (poly‐4‐methyl‐1‐pentene) polymer,1998
Yiu-Wing MAI,Potential of piezoelectric elements in the monitoring of composite manufacturing process,1997
Yiu-Wing MAI,Effect of rubber functionality on mechanical fracture properties of impact-modified nylon 6.6/polypropylene blends,1997
Yiu-Wing MAI,Modified blister tests for evaluation of thin flexible membrane adhesion on rigid substrate,1995
Yiu-Wing MAI,On the paradox between crack bridging and crack interaction in quasi-brittle materials,1995
Yiu-Wing MAI,Techniques for studying composite interfaces,1995
Yiu-Wing MAI,Fatigue crack retardation in polystyrene,1979
Yiu-Wing MAI,Temperature and rate dependent fracture in glass‐filled polystyrene,1976
Yiu-Wing MAI,CRACK GROWTH IN MINERAL GLASS.,1975
Yiu-Wing MAI,Electrospun carbon-based nanomaterials for next-generation potassium batteries,2023
Yiu-Wing MAI,J-integral for spallation of protective layer subjected to metal dusting corrosion,2017
Yiu-Wing MAI,Effect of interface strength on metal matrix composites properties,2017
Yiu-Wing MAI,Engineering ceramic fiber nanostructures through polymer-mediated electrospinning,2017
Yiu-Wing MAI,Overall behavior and microstructural deformation of R-CNT/polymer composites,2011
Yiu-Wing MAI,Compos,2008
Yiu-Wing MAI,Polymer-clay nanocomposites–A review of mechanical and physical properties,2007
Yiu-Wing MAI,Numerical study on void growth in rate and temperature dependent solids,2006
Yiu-Wing MAI,Exact solution for mode III cracks in a magnetoelectroelastic layer,2006
Yiu-Wing MAI,Surface cracking of a piezoelectric strip bonded to an elastic substrate (Mode I crack problem),2003
Yiu-Wing MAI,Computational modelling of a precision optical lens polishing process on small radius spherical surfaces,2000
Yiu-Wing MAI,A new thermoelectroelastic solution for piezoelectric materials with various openings,1999
Yiu-Wing MAI,Non-linear deformed interface corner stress characterization by effective parallel numerical methods,1997
Yiu-Wing MAI,Manufacturing of an aileron rib with advanced thermoplastic composites,1997
Yiu-Wing MAI,Fatigue life prediction of composite laminates using a stress redistribution function,1996
Yiu-Wing MAI,The effect of cross-stitching with an Aramid yarn on the delamination fracture toughness of CFRPs,1995
Yiu-Wing MAI,Sintered iron-ceramic composites,1993
Yiu-Wing MAI,Structure and Properties of Fibre Composites,1993
Yiu-Wing MAI,R-curve behaviour in a macro-defect-free cement paste,1990
Yiu-Wing MAI,Fracture parameters for sintered steels,1988
Yiu-Wing MAI,Fatigue crack propagation in unplasticized poly (vinyl chloride)(uPVC): 2. Near-threshold fatigue crack growth,1988
Yiu-Wing MAI,Slow crack growth and fracture instability of cement composites,1982
Yiu-Wing MAI,Science and engineering of short fibre reinforced polymer composites. 2009,Unknown
Yiu-Wing MAI,Organogel assisted salting out for strong and anti-fatigue hydrogels as wearable strain sensors,2024
Yiu-Wing MAI,Effect of barium titanate reinforcement on tensile strength and dielectric response of electrospun polyvinylidene fluoride fibers,2018
Yiu-Wing MAI,On the machinability and surface finish of cutting nanoparticle and elastomer modified epoxy,2016
Yiu-Wing MAI,Interlaminar toughening effects and mechanisms of non-woven carbon fiber tissue on CFRP laminates,2015
Yiu-Wing MAI,Effects of loading misalignment and tapering angle on the measured mechanical properties of nanowires,2015
Yiu-Wing MAI,Nanomechanics and nanocomposites: mechanical behaviors,2012
Yiu-Wing MAI,Singularities of an interface crack in electrostrictive materials,2011
Yiu-Wing MAI,Analytical solution for the damped-dynamics of printed circuit board and applied to study the effects of distorted half-sine support excitation,2009
Yiu-Wing MAI,Exact and fundamental solution for an anti-plane crack vertical to the boundaries of a magnetoelectroelastic strip,2007
Yiu-Wing MAI,Re-evaluation of fragmentation test based on the stress singularity of interface end,2006
Yiu-Wing MAI,Rate-dependent bridging law and its application to dynamic crack growth in brittle-matrix composite materials,2003
Yiu-Wing MAI,Increased impact damage resistance of shape memory alloy composites,2001
Yiu-Wing MAI,Finite element analysis of stress distributions in a fibre/matrix fragment,1997
Yiu-Wing MAI,Micromechanical modelling of deformation mechanisms for rubber-toughened polymers,1997
Yiu-Wing MAI,Statistics and size effect in cementitious materials,1995
Yiu-Wing MAI,In-plane fracture toughness measurement of paper,1995
Yiu-Wing MAI,The Mode II delamination fracture toughness of stitched CFRPs,1995
Yiu-Wing MAI,Micromechanics of fiber-matrix interface and fracture of advanced composites with engineered interfaces,1995
Yiu-Wing MAI,IN SITU SCANNING ELECTRON MICROSCOPE OBSERVATIONS OF FATIGUE IN MAGNESIA‐PARTIALLY‐STABILIZED ZIRCONIA,1994
Yiu-Wing MAI,Crack tip shielding in ceramic and cementitious materials subjected to monotonic and cyclic loading,1992
Yiu-Wing MAI,"On the relationship between crack tip opening displacement at the initiation of a ductile tear in low carbon steel, hydrostatic stress, and void growth",1991
Yiu-Wing MAI,The statistics of brittle fracture of small specimens,1988
Yiu-Wing MAI,Lifetime prediction of ceramic materials subjected to static loads,1987
Yiu-Wing MAI,Computer simulation models of fracture in concrete,1986
Yiu-Wing MAI,Fatigue crack growth measurement in polymers using electrically conductive surface grids,1984
Yiu-Wing MAI,Fatigue of spot-welded lap joints,1984
Yiu-Wing MAI,Crack opening displacement and hydrostatic stress,1984
Yiu-Wing MAI,Cyclic fatigue and thermal softening of polypropylene,1981
Yiu-Wing MAI,Molecular dynamics simulations of friction forces between silica nanospheres,2019
Yiu-Wing MAI,Science and Engineering of Short Fibre-Reinforced Polymer Composites,2019
Yiu-Wing MAI,Fracture of electrostrictive solids subjected to combined mechanical and electric loads,2010
Yiu-Wing MAI,聚合物纳米复合材料,2010
Yiu-Wing MAI,Electroelastic gap waves between dissimilar piezoelectric materials in different classes of symmetry,2009
Yiu-Wing MAI,Strength of short fibre reinforced polymers,2009
Yiu-Wing MAI,Introduction to short fibre reinforced polymer composites,2009
Yiu-Wing MAI,Log-normal nanograin-size distributions in nanostructured composites,2008
Yiu-Wing MAI,Modeling surface electrodes on a piezoelectric layer,2008
Yiu-Wing MAI,Grain growth as a stochastic and curvature-driven process,2006
Yiu-Wing MAI,Mixed-mode fracture of adhesively bonded joints,2004
Yiu-Wing MAI,Crystallization-induced stress in reactively sputter-deposited molybdenum nitride thin films,2003
Yiu-Wing MAI,Damage wave propagation in elastic-brittle materials,2002
Yiu-Wing MAI,"Fracture of Polymers, Composites and Adhesives, ESIS Publication 27",1999
Yiu-Wing MAI,Subsurface damage of ceramic paticulate reinforced Al–Li alloy composite induced by scratching at an elevated temperature,1998
Yiu-Wing MAI,Statistical prediction of fatigue failure of fibre reinforced composite materials,1995
Yiu-Wing MAI,Crack Growth in Zirconia Bearing Ceramics under Cyclic Loading,1992
Yiu-Wing MAI,Mechanical Properties of a Sintered Al2O3/ZrO2 Composite,1991
Yiu-Wing MAI,The fracture resistance of sintered steel,1989
Yiu-Wing MAI,The effect of a fracture process zone on a model for crack growth in fibre-reinforced cementitious materials,1988
Yiu-Wing MAI,ON FIBRE COMPOSITES WITH INTERMITTENT INTERLAMINAR BONDING.,1982
Yiu-Wing MAI,On the Thermal Shock Behaviour of Oxide Ceramic and Carbide Cutting Tools,1977
Yiu-Wing MAI,Quasi-static cracking of several ductile materials under plane stress conditions,1976
Yiu-Wing MAI,Comment on “Fracture resistance of paper”,1975
Yiu-Wing MAI,"Elastic and plastic fracture, 1985",Unknown
Yiu-Wing MAI,A review of the mechanics and mechanisms of cyclic fatigue-crack propagation in transformation-toughened zirconia ceramics,2023
Yiu-Wing MAI,"10-Dynamic deformation of a printed circuit board in drop-shock in Robust Design of Microelectronics Assemblies Against Mechanical Shock, Temperature and Moisture",2015
Yiu-Wing MAI,Fracture mechanics analysis on Smart-Cut® technology. Part 2: Effect of bonding flaws,2009
Yiu-Wing MAI,Enhanced mechanical and wear performance of PS and HIPS composites by surface modification of hydroxyapatite via in situ polymerization and copolymerization,2007
Yiu-Wing MAI,Indentation size effect on hardness of nanostructured thin films,2006
Yiu-Wing MAI,Z-pin bridging in composite laminates and some related problems,2006
Yiu-Wing MAI,Dispersion and alignment of carbon nanotubes in polymer matrix: a review-(II) alignment of carbon nanotubes in polymer matrix,2005
Yiu-Wing MAI,Strength evaluation of piezoelectric ceramics under transient thermal environments,2004
Yiu-Wing MAI,On the tearing toughness and permeability modelling of polymer nanocomposites,2004
Yiu-Wing MAI,Composite technologies for 2020: proceedings of the fourth Asian-Australasian Conference on Composite Materials (ACCM 4),2004
Yiu-Wing MAI,Fatigue crack growth and piezoelectric property decay induced by cyclic electric fields for an actuation piezoceramic,2004
Yiu-Wing MAI,Crack-tip field for fast fracture of an elastic–plastic–viscoplastic material incorporated with quasi-brittle damage. Part 1. Large damage regime,2001
Yiu-Wing MAI,Asymptotic fields for dynamic crack growth in pressure-sensitive elastic–plastic materials,2000
Yiu-Wing MAI,Evaluation of critical wear transition loads of MMCs by rule based fuzzy modelling,1996
Yiu-Wing MAI,Polymer matrix composites,1996
Yiu-Wing MAI,Effect of plastic coating on fibre-matrix interface debonding,1995
Yiu-Wing MAI,Q solutions for compact tension and single-edge cracked tension specimens,1994
Yiu-Wing MAI,A comparison of fibre pullout and pushout in ceramic fibre composites,1991
Yiu-Wing MAI,Morphology of Interpenetrating Polymer Networks Based on Block Styrene--Butadiene Copolymers and Polystyrene,1989
Yiu-Wing MAI,Elastic and plastic fracture. UK,1988
Yiu-Wing MAI,Crack and craze nucleation,1985
Yiu-Wing MAI,Oxidative and nonoxidative photodegradation of nylon 6,1982
Yiu-Wing MAI,Contoured double cantilever beam specimens for fracture toughness measurement of adhesive joints,1976
Yiu-Wing MAI,Computational insight into phase separation of a thiol-ene photopolymer with liquid crystals for holography by dissipative particle dynamics simulation,2023
Yiu-Wing MAI,Electrospun polymer scaffolds: Their biomedical and mechanical properties,2017
Yiu-Wing MAI,12-Rate-dependent stress–strain properties of solders,2015
Yiu-Wing MAI,The damped dynamics of printed circuit board and analysis of distorted and deformed half-sine excitation,2009
Yiu-Wing MAI,Preparation and Thermo-Mechanical Characterization of Hydroxyapatite/Bacterial Cellulose Nanocomposites,2009
Yiu-Wing MAI,6—Elastic modulus of short fibre reinforced polymers,2009
Yiu-Wing MAI,Liquid crystallinity and novel assembly of amorphous polymer grafted carbon nanotubes,2007
Yiu-Wing MAI,A theoretical model on piezoelectric fibre pullout with electric input,2006
Yiu-Wing MAI,Near-tip fields for penny-shaped cracks in magnetoelectroelastic media,2006
Yiu-Wing MAI,Electronic Components and Technology Conference,2006
Yiu-Wing MAI,A statistical study of the fatigue performance of fibre-reinforced composite laminates,2003
Yiu-Wing MAI,Performance synergism in polymer-based hybrid materials,2003
Yiu-Wing MAI,Tribological characteristics of Ti-Si-N films deposited by unbalanced DC magnetron sputtering,2003
Yiu-Wing MAI,Asymptotic analysis of a rubber cone dented by a rigid cone,2002
Yiu-Wing MAI,Life evaluation of gas turbine engine disk based on retirement for cause concept,2002
Yiu-Wing MAI,On fast fracture in an elastic-(plastic)-viscoplastic solid–1. Stress and velocity fields with loading and unloading processes,2001
Yiu-Wing MAI,Material characterization tests for finite element simulation of the diaphragm forming process,2001
Yiu-Wing MAI,Finite element simulations of the diaphragm forming process,2000
Yiu-Wing MAI,Effect of water absorption on the impact behaviour of short sisal fibre reinforced polymer composites,1998
Yiu-Wing MAI,Strengthening efficiency of E-Glass fibre composite jackets of different architectures for concrete columns,1998
Yiu-Wing MAI,Fibre/matrix adhesion and residual strength of notched composite laminates,1998
Yiu-Wing MAI,Abrasive wear of dental composite resins,1996
Yiu-Wing MAI,"Fracture mechanics of cementitious materials, 750 Blackie",1996
Yiu-Wing MAI,Ductile-brittle fracture transition as a result of increasing in-plane constraint in a medium carbon steel,1994
Yiu-Wing MAI,Tensile strength of short-fibre-reinforced brittle materials with pre-existing defects,1991
Yiu-Wing MAI,Time-dependent strength behaviour of Mg-PSZ with R-curve characteristics,1991
Yiu-Wing MAI,Failure mechanisms in glassy-metal-reinforced epoxy composites,1989
Yiu-Wing MAI,A statistical fracture mechanics analysis of time-dependent strength behaviour of partially stabilized zirconia,1988
Yiu-Wing MAI,Determination ofK c for an interpenetrating polymer network based on SBR and polystyrene,1986
Yiu-Wing MAI,Imparting fracture resistance to cement mortar by intermittent interlaminar bonding,1982
Yiu-Wing MAI,Performance evaluation of sandwich panels subjected to bending compression and thermal bowing,1980
Yiu-Wing MAI,THERMAL FRACTURE OF BUILDING GLASS SUBJECTED TO SOLAR RADIATION.,1980
Yiu-Wing MAI,Crack Propagation Resistance of Alpha-Brass Subjected to Prior-Exposure in Corrosive Environments,1976
Yiu-Wing MAI,A review on the ionic conductivity and mechanical properties of composite polymer electrolytes (CPEs) for lithium batteries: Insights from the perspective of polymer/filler …,2024
Yiu-Wing MAI,Heterogeneous structure design for stable Li/Na metal batteries: Progress and prospects,2024
Yiu-Wing MAI,Formation of head/tail-to-body charged domain walls by mechanical stress,2022
Yiu-Wing MAI,Enhanced Unipolar Fatigue Resistance in Ferroelectric Pb(Ni1/3Nb2/3O3)–PbTiO3 Ceramics Prepared via Glycerol‐Assisted Solid‐State Reaction,2011
Yiu-Wing MAI,"Preparation, properties and applications of nanocomposites",2011
Yiu-Wing MAI,Carbon nanotube nanocomposites for biomedical actuators,2010
Yiu-Wing MAI,Fatigue performance of z-pin reinforced delamination,2009
Yiu-Wing MAI,Single-walled carbon nanotubes in epoxy composites,2006
Yiu-Wing MAI,Environmental effects on deformation mechanism and dislocation microstructure in fatigued copper single crystal,2005
Yiu-Wing MAI,Numerical analysis of adhesive thickness effect on fracture toughness in adhesive-bonded joints,2004
Yiu-Wing MAI,Surface fracture of a semi-infinite piezoelectric medium under transient thermal loading (poling axis parallel to the edge of the medium),2004
Yiu-Wing MAI,Numerical study on buckling of z-pinned composite laminates,2004
Yiu-Wing MAI,Experimental study on z-pin bridging law by pull-out tests,2003
Yiu-Wing MAI,Fracture toughness characterizations of compatibilized polyamide-6 (PA6)/poly (phenylene ether)(PPE) blends,2001
Yiu-Wing MAI,Effects of constraint on crack tip stress fields and fracture toughness in adhesive joints,2000
Yiu-Wing MAI,Effects of Saline Water Immersion on Glass Fibrelvinyl-Ester Wrapped Concrete Columns,1999
Yiu-Wing MAI,Fatigue crack propagation in fiber-reinforced metal laminates with treated or untreated carbon fibers,1999
Yiu-Wing MAI,Effects of relative sliding distance on the frictional stress transfer in fiber-reinforced ceramics,1998
Yiu-Wing MAI,Thermal analysis for cracks near interfaces between piezoelectric materials,1998
Yiu-Wing MAI,Resistance welding of carbon fibre fabric reinforced polyetherimide (CF fabric/PEI) composite material,1997
Yiu-Wing MAI,Progressive damage and residual strength of notched composite laminates,1995
Yiu-Wing MAI,Deformation of ceria-stabilised tetragonal zirconia ceramics in scratch experiments with a sharp indenter,1994
Yiu-Wing MAI,Grain size effects on the mechanism of wear in alumina,1994
Yiu-Wing MAI,A theoretical model for the evaluation of interfacial properties of fibre-reinforced ceramics with the slice compression test,1994
Yiu-Wing MAI,Controlled interfacial bonding on the residual strength of fatigue-damaged carbon fibre—epoxy composites,1988
Yiu-Wing MAI,Unnotched impact bend test assessment of the degree of gelation in unplasticized poly (vinyl chloride) pipe,1987
Yiu-Wing MAI,Crack initiation and propagation in ductile fracture: Path dependence and one parameter characterization?,1986
Yiu-Wing MAI,Bounding Solutions for Crack-Growth Resistance Curves in Fibre-Reinforced Cement Composites,1986
Yiu-Wing MAI,Creep properties of sintered copper steel,1985
Yiu-Wing MAI,The specific work of fracture of carbon/Kevlar hybrid fibre composites,1985
Yiu-Wing MAI,Effects of mean stress and frequency on fatigue crack growth in HIPS,1982
Yiu-Wing MAI,Thermal stress fracture of wire glass,1982
Yiu-Wing MAI,Crack growth in composites with piezoelectric fibers,Unknown
Yiu-Wing MAI,Multifunctional tri-layer aramid nanofiber composite separators for high-energy-density lithium-sulfur batteries,2024
Yiu-Wing MAI,Cyclic degradation mechanisms of Al0. 3CoCrFeNi high-entropy alloy under different loading rates,2024
Yiu-Wing MAI,Resistance to crack propagation in an Al2O3/ZrO2 Ceramic,2023
Yiu-Wing MAI,Effect of nanoparticle modification on composite mode II delamination,2013
Yiu-Wing MAI,A Statistical Theory of Time-Dependent Fracture for Cementitious Materials,2012
Yiu-Wing MAI,Advances in fracture research,2012
Yiu-Wing MAI,On essential work of fracture method: theoretical consideration and numerical simulation,2010
Yiu-Wing MAI,"Determination of effective nanoindentation range for hard (Ti, Al) N thin film",2006
Yiu-Wing MAI,Fracture properties and characteristics of sisal textile reinforced epoxy composites,2006
Yiu-Wing MAI,"Monte Carlo Simulation of Microstructure and Grain Growth in nc-Ti(N, B)/a-(TiB2, BN) Nanocomposite Films",2006
Yiu-Wing MAI,Thermal Fatigue and Creep Fracture Behaviors of a Nanocomposite Solder in Microelectronic/optoelectronic Packaging,2006
Yiu-Wing MAI,Modelling composite reinforcement by stitching and z-pinning,2005
Yiu-Wing MAI,On fast fracture in an elastic-(plastic)-viscoplastic solid Part II–The motion of crack,2004
Yiu-Wing MAI,Cracking of electromagnetic elastic solids,2003
Yiu-Wing MAI,Fabrication and microstructure of mechanically alloyed Mg-Al-Nd alloys,2003
Yiu-Wing MAI,Comprehensive Structural Integrity: Bioengineering,2003
Yiu-Wing MAI,Fracture behavior of polymer blends,2003
Yiu-Wing MAI,IUPAC World Polymer Congress 2002,2002
Yiu-Wing MAI,Fracture behavior of short glass fibre and short carbon fibre reinforced polypropylene composites,2002
Yiu-Wing MAI,Crack-tip field for fast fracture of an elastic–plastic–viscoplastic material coupled with quasi-brittle damage. Part 2. Small damage regime,2001
Yiu-Wing MAI,Manufacturing and joining of advanced thermoplastic composites,2000
Yiu-Wing MAI,Effect of blending sequence on the impact strength of PET/PC blends,1998
Yiu-Wing MAI,"Fracture Resistance and Microstructures of Unreinforced and Fiber-reinforced PA6, 6/PP/SEBS-g-MA",1998
Yiu-Wing MAI,Impact strength and failure mechanisms of PBT/PC blends,1997
